
=== combined dataframe of bps_pred===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
23         #COO  0.000000   0.000401  7.831633e-15   0.000000           0.0           39.0            41.0            43.0            39.0                2.0               48.8
24       #AlCOO  0.000000   0.000000  1.039099e-14   0.000000           0.0           39.0            43.0            42.0            39.0                2.0               49.1
25       #ArCOO  0.000000   0.000000  1.053498e-14   0.000000           0.0           39.0            43.0            41.0            39.0                2.0               48.8
26         #C=O  0.007455   0.055928  3.409181e+00   0.030174           1.0           18.0            19.0            22.0            10.0                1.0               21.9
27     #C=O\COO  0.000000   0.000000  6.200335e-15   0.000000           0.0           39.0            43.0            45.0            39.0                2.0               50.0
28       #Ether  0.098051   0.039813  3.967761e+00   0.087286           1.0            2.0            20.0            11.0             4.0                1.0               14.5
29       #Ester  0.016180   0.021709  3.647895e+00   0.031469           1.0           12.0            26.0            17.0             8.0                1.0               20.9
30     #Benzene  0.000139   0.000475  2.315186e+00   0.000937           0.0           37.0            39.0            38.0            35.0                2.0               45.5
31        #Ar-N  0.004973   0.080070  4.653341e+00   0.004888           1.0           20.0            16.0             1.0            19.0                1.0               16.9
32         #ArN  0.000000   0.001615  3.006428e-15   0.000000           0.0           39.0            35.0            46.0            39.0                2.0               47.9
33        #ArNH  0.000000   0.000000  3.130883e-16   0.000000           0.0           39.0            43.0            47.0            39.0                2.0               50.6
34       #Imine  0.004697   0.014360  4.039063e+00   0.018546           1.0           21.0            30.0             8.0            12.0                1.0               22.0
35         #NH2  0.000000   0.000000  7.056608e-31   0.000000           0.0           39.0            43.0            48.0            39.0                2.0               50.9
36         #NH1  0.000000   0.000000  9.852880e-45   0.000000           0.0           39.0            43.0            50.0            39.0                2.0               51.5
37         #NH0  0.000000   0.000146  1.124460e-44   0.000000           0.0           39.0            42.0            49.0            39.0                2.0               50.9
38          #SH  0.000000   0.000000  2.868283e-45   0.000000           0.0           39.0            43.0            51.0            39.0                2.0               51.8
39    #Aldehyde  0.003495   0.016168  3.922427e+00   0.002616           1.0           27.0            29.0            12.0            30.0                1.0               27.7
40       #Amide  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            43.0            52.0            39.0                2.0               52.1
41     #Aniline  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            43.0            52.0            39.0                2.0               52.1
42      #Phenol  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            43.0            52.0            39.0                2.0               52.1
43     #Epoxide  0.003504   0.013241  2.995939e+00   0.002674           1.0           26.0            31.0            31.0            29.0                1.0               33.6
44       #Furan  0.000647   0.000000  3.282408e+00   0.010951           1.0           33.0            43.0            25.0            14.0                1.0               33.8
45  #Piperidine  0.000012   0.001862  2.364098e+00   0.000270           1.0           38.0            33.0            37.0            38.0                1.0               40.2
46    #Pyridine  0.000333   0.000494  2.706122e+00   0.001988           0.0           34.0            38.0            34.0            32.0                2.0               42.8
47     #Lactone  0.000167   0.001854  2.487176e+00   0.000707           0.0           36.0            34.0            35.0            37.0                2.0               43.3
48      #Ketone  0.003398   0.023697  3.981529e+00   0.004495           1.0           28.0            25.0            10.0            21.0                1.0               24.3
49     #Nitrile  0.043840   0.080632  3.637287e+00   0.132537           1.0            6.0            15.0            18.0             2.0                1.0               15.5
50     #Sulfone  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            43.0            52.0            39.0                2.0               52.1
51       Radius  0.014495   0.037436  3.437766e+00   0.004052           1.0           13.0            22.0            21.0            22.0                1.0               23.9
52         apol  0.031954   0.553996  3.405975e+00   0.008397           1.0            7.0             1.0            23.0            16.0                1.0               15.8
53         Vabc  0.019442   0.433084  3.245115e+00   0.003337           1.0           10.0             2.0            27.0            25.0                1.0               19.7
54        SLogP  0.054966   0.398372  4.558657e+00   0.003190           1.0            5.0             3.0             2.0            26.0                1.0               11.7
=== end of combined dataframe ===

=== combined dataframe of mps_pred===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            #C  0.007396   0.368392  3.740790e+00   0.004886           1.0           16.0             5.0            14.0            20.0                1.0               16.9
1            #O  0.001063   0.118005  3.466506e+00   0.002229           1.0           29.0            11.0            20.0            32.0                1.0               25.5
2         #O/#C  0.009089   0.301100  4.321324e+00   0.007945           1.0           15.0             6.0             5.0            14.0                1.0               13.1
3      #Halogen  0.000131   0.017413  3.154594e+00   0.003952           1.0           35.0            30.0            28.0            24.0                1.0               33.2
4   #Halogen/#H  0.000178   0.020956  3.272766e+00   0.000883           1.0           32.0            27.0            26.0            37.0                1.0               33.7
5          #R=R  0.020155   0.095144  4.556691e+00   0.016408           1.0            8.0            15.0             3.0            10.0                1.0               13.0
6          #R#R  0.004633   0.020238  4.416364e+00   0.002987           1.0           18.0            28.0             4.0            29.0                1.0               23.0
7        #Donor  0.287557   0.190716  4.185644e+00   0.209854           1.0            2.0             7.0             6.0             2.0                1.0                8.7
8       #Accept  0.356693   0.419671  3.989861e+00   0.237274           1.0            1.0             4.0             9.0             1.0                1.0                8.3
9         #Ring  0.010712   0.057386  3.768903e+00   0.008597           1.0           14.0            21.0            13.0            13.0                1.0               19.6
10        #AlCR  0.003666   0.104551  3.681203e+00   0.001786           1.0           20.0            12.0            16.0            34.0                1.0               23.2
11        #AlHR  0.012150   0.081719  3.330272e+00   0.018150           1.0           12.0            17.0            24.0             9.0                1.0               20.5
12         #AlR  0.001798   0.096970  2.893619e+00   0.002787           0.0           26.0            14.0            32.0            30.0                2.0               33.0
13        #ArCR  0.000116   0.001318  2.390649e+00   0.003165           1.0           36.0            36.0            36.0            28.0                1.0               38.4
14        #ArHR  0.013709   0.166804  3.035896e+00   0.068556           0.0           10.0             8.0            29.0             4.0                2.0               21.9
15         #ArR  0.013270   0.163966  3.014494e+00   0.184736           1.0           11.0             9.0            30.0             3.0                1.0               18.5
16         #SCR  0.011460   0.098048  3.495742e+00   0.004868           1.0           13.0            13.0            19.0            21.0                1.0               20.4
17         #SHR  0.003909   0.062936  3.715337e+00   0.004853           0.0           19.0            20.0            15.0            22.0                2.0               26.7
18          #SR  0.003416   0.091743  2.766634e+00   0.003445           1.0           21.0            16.0            33.0            27.0                1.0               28.3
19        #Bran  0.030239   0.039108  4.150873e+00   0.005116           1.0            5.0            23.0             7.0            19.0                1.0               17.8
20          #OH  0.000000   0.000857  1.579142e-14   0.000000           0.0           39.0            41.0            40.0            39.0                2.0               47.9
21        #AlOH  0.000000   0.000000  6.517439e-15   0.000000           0.0           39.0            47.0            44.0            39.0                2.0               50.9
22        #ArOH  0.000000   0.000000  1.804124e-14   0.000000           0.0           39.0            47.0            39.0            39.0                2.0               49.4
23         #COO  0.000000   0.000000  7.831633e-15   0.000000           0.0           39.0            47.0            43.0            39.0                2.0               50.6
24       #AlCOO  0.000000   0.000550  1.039099e-14   0.000000           0.0           39.0            43.0            42.0            39.0                2.0               49.1
25       #ArCOO  0.000000   0.000000  1.053498e-14   0.000000           0.0           39.0            47.0            41.0            39.0                2.0               50.0
26         #C=O  0.002500   0.063244  3.409181e+00   0.006558           1.0           25.0            19.0            22.0            16.0                1.0               24.5
27     #C=O\COO  0.000000   0.000600  6.200335e-15   0.000000           0.0           39.0            42.0            45.0            39.0                2.0               49.7
28       #Ether  0.014979   0.075042  3.967761e+00   0.039993           1.0            9.0            18.0            11.0             6.0                1.0               15.7
29       #Ester  0.001054   0.006093  3.647895e+00   0.002597           0.0           30.0            32.0            17.0            31.0                2.0               34.9
30     #Benzene  0.000112   0.000921  2.315186e+00   0.003746           0.0           37.0            40.0            38.0            26.0                2.0               44.0
31        #Ar-N  0.025227   0.158442  4.653341e+00   0.049572           1.0            6.0            10.0             1.0             5.0                1.0                9.5
32         #ArN  0.000000   0.000498  3.006428e-15   0.000000           0.0           39.0            44.0            46.0            39.0                2.0               50.6
33        #ArNH  0.000000   0.000000  3.130883e-16   0.000000           0.0           39.0            47.0            47.0            39.0                2.0               51.8
34       #Imine  0.003178   0.047175  4.039063e+00   0.022371           1.0           22.0            22.0             8.0             8.0                1.0               19.0
35         #NH2  0.000000   0.000000  7.056608e-31   0.000000           0.0           39.0            47.0            48.0            39.0                2.0               52.1
36         #NH1  0.000000   0.000446  9.852880e-45   0.000000           0.0           39.0            45.0            50.0            39.0                2.0               52.1
37         #NH0  0.000000   0.001226  1.124460e-44   0.000000           0.0           39.0            38.0            49.0            39.0                2.0               49.7
38          #SH  0.000000   0.001069  2.868283e-45   0.000000           0.0           39.0            39.0            51.0            39.0                2.0               50.6
39    #Aldehyde  0.001221   0.024070  3.922427e+00   0.003886           0.0           28.0            26.0            12.0            25.0                2.0               30.0
40       #Amide  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            47.0            52.0            39.0                2.0               53.3
41     #Aniline  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            47.0            52.0            39.0                2.0               53.3
42      #Phenol  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            47.0            52.0            39.0                2.0               53.3
43     #Epoxide  0.002920   0.018760  2.995939e+00   0.001830           1.0           23.0            29.0            31.0            33.0                1.0               33.2
44       #Furan  0.000597   0.002362  3.282408e+00   0.006079           1.0           31.0            34.0            25.0            18.0                1.0               31.5
45  #Piperidine  0.000155   0.002958  2.364098e+00   0.004626           1.0           33.0            33.0            37.0            23.0                1.0               36.2
46    #Pyridine  0.000141   0.001893  2.706122e+00   0.001118           1.0           34.0            35.0            34.0            36.0                1.0               38.7
47     #Lactone  0.000036   0.000309  2.487176e+00   0.000179           0.0           38.0            46.0            35.0            38.0                2.0               47.5
48      #Ketone  0.002569   0.035621  3.981529e+00   0.013297           1.0           24.0            24.0            10.0            11.0                1.0               21.2
49     #Nitrile  0.001389   0.010016  3.637287e+00   0.007498           1.0           27.0            31.0            18.0            15.0                1.0               27.1
50     #Sulfone  0.000000   0.001304  0.000000e+00   0.000000           0.0           39.0            37.0            52.0            39.0                2.0               50.3
51       Radius  0.006610   0.025500  3.437766e+00   0.001298           1.0           17.0            25.0            21.0            35.0                1.0               28.2
52         apol  0.042052   0.646957  3.405975e+00   0.027056           1.0            4.0             1.0            23.0             7.0                1.0               13.4
53         Vabc  0.024902   0.544757  3.245115e+00   0.006104           1.0            7.0             3.0            27.0            17.0                1.0               17.8
54        SLogP  0.079016   0.549581  4.558657e+00   0.009713           1.0            3.0             2.0             2.0            12.0                1.0                8.2
=== end of combined dataframe ===

=== combined dataframe of fps_pred===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            #C  0.035296   0.405601  3.740790e+00   0.023671           1.0            5.0             5.0            14.0             8.0                1.0               12.3
1            #O  0.000892   0.162858  3.466506e+00   0.003317           1.0           32.0             7.0            20.0            23.0                1.0               23.1
2         #O/#C  0.022377   0.389050  4.321324e+00   0.007016           1.0            7.0             6.0             5.0            17.0                1.0               12.1
3      #Halogen  0.001364   0.014542  3.154594e+00   0.031403           1.0           27.0            31.0            28.0             7.0                1.0               28.5
4   #Halogen/#H  0.001639   0.020943  3.272766e+00   0.001107           0.0           25.0            29.0            26.0            36.0                2.0               36.7
5          #R=R  0.010780   0.096601  4.556691e+00   0.010610           1.0           10.0            16.0             3.0            15.0                1.0               14.7
6          #R#R  0.004757   0.015099  4.416364e+00   0.003125           1.0           17.0            30.0             4.0            24.0                1.0               22.4
7        #Donor  0.065358   0.133078  4.185644e+00   0.073683           1.0            3.0             9.0             6.0             5.0                1.0               10.1
8       #Accept  0.577343   0.474626  3.989861e+00   0.361343           1.0            1.0             4.0             9.0             1.0                1.0                8.3
9         #Ring  0.004199   0.064080  3.768903e+00   0.006061           1.0           18.0            19.0            13.0            18.0                1.0               20.8
10        #AlCR  0.002280   0.145699  3.681203e+00   0.002398           1.0           22.0             8.0            16.0            27.0                1.0               21.0
11        #AlHR  0.022166   0.060646  3.330272e+00   0.017326           1.0            8.0            20.0            24.0            10.0                1.0               20.8
12         #AlR  0.001202   0.110875  2.893619e+00   0.004067           0.0           29.0            15.0            32.0            20.0                2.0               31.9
13        #ArCR  0.000177   0.000351  2.390649e+00   0.002143           0.0           34.0            41.0            36.0            28.0                2.0               43.5
14        #ArHR  0.002643   0.125356  3.035896e+00   0.045106           1.0           20.0            10.0            29.0             6.0                1.0               20.9
15         #ArR  0.005252   0.123378  3.014494e+00   0.090019           1.0           16.0            11.0            30.0             3.0                1.0               20.1
16         #SCR  0.001986   0.120884  3.495742e+00   0.003730           1.0           23.0            12.0            19.0            21.0                1.0               22.1
17         #SHR  0.001047   0.055587  3.715337e+00   0.001468           1.0           30.0            22.0            15.0            34.0                1.0               27.9
18          #SR  0.001922   0.115453  2.766634e+00   0.002801           0.0           24.0            13.0            33.0            25.0                2.0               31.6
19        #Bran  0.008141   0.044859  4.150873e+00   0.001223           1.0           13.0            23.0             7.0            35.0                1.0               22.6
20          #OH  0.000000   0.000301  1.579142e-14   0.000000           0.0           39.0            42.0            40.0            39.0                2.0               48.2
21        #AlOH  0.000000   0.000582  6.517439e-15   0.000000           0.0           39.0            37.0            44.0            39.0                2.0               47.9
22        #ArOH  0.000000   0.000000  1.804124e-14   0.000000           0.0           39.0            48.0            39.0            39.0                2.0               49.7
23         #COO  0.000000   0.000000  7.831633e-15   0.000000           0.0           39.0            48.0            43.0            39.0                2.0               50.9
24       #AlCOO  0.000000   0.000000  1.039099e-14   0.000000           0.0           39.0            48.0            42.0            39.0                2.0               50.6
25       #ArCOO  0.000000   0.000120  1.053498e-14   0.000000           0.0           39.0            46.0            41.0            39.0                2.0               49.7
26         #C=O  0.001410   0.096476  3.409181e+00   0.022500           1.0           26.0            17.0            22.0             9.0                1.0               22.7
27     #C=O\COO  0.000000   0.000402  6.200335e-15   0.000000           0.0           39.0            40.0            45.0            39.0                2.0               49.1
28       #Ether  0.083667   0.058310  3.967761e+00   0.087862           1.0            2.0            21.0            11.0             4.0                1.0               14.8
29       #Ester  0.005691   0.024886  3.647895e+00   0.016404           1.0           15.0            27.0            17.0            11.0                1.0               22.4
30     #Benzene  0.000152   0.000000  2.315186e+00   0.003347           0.0           36.0            48.0            38.0            22.0                2.0               45.4
31        #Ar-N  0.002800   0.113738  4.653341e+00   0.007488           1.0           19.0            14.0             1.0            16.0                1.0               15.5
32         #ArN  0.000000   0.000549  3.006428e-15   0.000000           0.0           39.0            39.0            46.0            39.0                2.0               49.1
33        #ArNH  0.000000   0.000000  3.130883e-16   0.000000           0.0           39.0            48.0            47.0            39.0                2.0               52.1
34       #Imine  0.008207   0.022413  4.039063e+00   0.014530           1.0           12.0            28.0             8.0            12.0                1.0               19.6
35         #NH2  0.000000   0.000582  7.056608e-31   0.000000           0.0           39.0            38.0            48.0            39.0                2.0               49.4
36         #NH1  0.000000   0.000088  9.852880e-45   0.000000           0.0           39.0            47.0            50.0            39.0                2.0               52.7
37         #NH0  0.000000   0.000185  1.124460e-44   0.000000           0.0           39.0            44.0            49.0            39.0                2.0               51.5
38          #SH  0.000000   0.000000  2.868283e-45   0.000000           0.0           39.0            48.0            51.0            39.0                2.0               53.3
39    #Aldehyde  0.001240   0.031852  3.922427e+00   0.001827           1.0           28.0            26.0            12.0            31.0                1.0               27.2
40       #Amide  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            48.0            52.0            39.0                2.0               53.6
41     #Aniline  0.000000   0.000155  0.000000e+00   0.000000           0.0           39.0            45.0            52.0            39.0                2.0               52.7
42      #Phenol  0.000000   0.000000  0.000000e+00   0.000000           0.0           39.0            48.0            52.0            39.0                2.0               53.6
43     #Epoxide  0.002339   0.013477  2.995939e+00   0.001616           1.0           21.0            32.0            31.0            33.0                1.0               33.7
44       #Furan  0.000660   0.000645  3.282408e+00   0.004356           1.0           33.0            36.0            25.0            19.0                1.0               32.7
45  #Piperidine  0.000012   0.000838  2.364098e+00   0.001080           1.0           38.0            35.0            37.0            37.0                1.0               40.6
46    #Pyridine  0.000174   0.001946  2.706122e+00   0.001932           0.0           35.0            33.0            34.0            29.0                2.0               40.9
47     #Lactone  0.000051   0.001280  2.487176e+00   0.000450           0.0           37.0            34.0            35.0            38.0                2.0               43.7
48      #Ketone  0.000913   0.035334  3.981529e+00   0.001741           1.0           31.0            25.0            10.0            32.0                1.0               27.1
49     #Nitrile  0.017635   0.080562  3.637287e+00   0.113553           1.0            9.0            18.0            18.0             2.0                1.0               17.0
50     #Sulfone  0.000000   0.000225  0.000000e+00   0.000000           0.0           39.0            43.0            52.0            39.0                2.0               52.1
51       Radius  0.008032   0.036002  3.437766e+00   0.002580           1.0           14.0            24.0            21.0            26.0                1.0               25.5
52         apol  0.052122   0.794728  3.405975e+00   0.013995           1.0            4.0             1.0            23.0            13.0                1.0               14.6
53         Vabc  0.009443   0.643900  3.245115e+00   0.001880           1.0           11.0             2.0            27.0            30.0                1.0               20.9
54        SLogP  0.034629   0.623164  4.558657e+00   0.011240           1.0            6.0             3.0             2.0            14.0                1.0                9.5
=== end of combined dataframe ===

=== combined dataframe of HOMO_eV===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            mu  0.108515   0.073294  4.317421e+00   0.001348           1.0            3.0            11.0            22.0            48.0                1.0               24.1
1            #C  0.003425   0.058904  4.333606e+00   0.001933           1.0           35.0            18.0            21.0            42.0                1.0               31.1
2            #O  0.010014   0.069235  4.580727e+00   0.005604           1.0           19.0            12.0            13.0            23.0                1.0               19.9
3         #O/#C  0.096427   0.121154  4.611138e+00   0.042115           1.0            4.0             4.0            11.0             7.0                1.0               10.7
4      #Halogen  0.001316   0.004478  3.445523e+00   0.004177           1.0           45.0            44.0            44.0            32.0                1.0               45.8
5   #Halogen/#H  0.002688   0.010238  3.614234e+00   0.013735           1.0           41.0            39.0            39.0            12.0                1.0               38.0
6          #R=R  0.027992   0.010367  5.165428e+00   0.010232           1.0            8.0            38.0             2.0            15.0                1.0               20.6
7          #R#R  0.014557   0.075576  5.026323e+00   0.018607           1.0           13.0            10.0             8.0            11.0                1.0               14.2
8        #Donor  0.013020   0.030044  5.039261e+00   0.006160           1.0           15.0            26.0             7.0            19.0                1.0               20.7
9       #Accept  0.012861   0.060369  5.131308e+00   0.003946           0.0           16.0            17.0             3.0            34.0                2.0               24.0
10        #Ring  0.006960   0.082909  4.123360e+00   0.005733           1.0           25.0             8.0            31.0            22.0                1.0               25.1
11        #AlCR  0.009527   0.052585  4.404030e+00   0.002651           1.0           21.0            20.0            18.0            38.0                1.0               27.2
12        #AlHR  0.011941   0.053443  4.115959e+00   0.002648           1.0           17.0            19.0            32.0            39.0                1.0               30.5
13         #AlR  0.003786   0.105360  3.322315e+00   0.010273           0.0           34.0             5.0            45.0            14.0                2.0               32.6
14        #ArCR  0.000256   0.001632  3.232982e+00   0.004752           1.0           49.0            50.0            47.0            28.0                1.0               48.5
15        #ArHR  0.008676   0.082293  3.501115e+00   0.046678           1.0           22.0             9.0            42.0             5.0                1.0               24.7
16         #ArR  0.023835   0.087626  3.463259e+00   0.100175           0.0           10.0             7.0            43.0             3.0                2.0               25.6
17         #SCR  0.004733   0.027957  4.537024e+00   0.004107           1.0           31.0            28.0            15.0            33.0                1.0               29.7
18         #SHR  0.006853   0.050285  4.159802e+00   0.004367           1.0           26.0            22.0            28.0            29.0                1.0               30.0
19          #SR  0.004334   0.067648  3.075496e+00   0.002249           0.0           33.0            13.0            49.0            40.0                2.0               41.2
20        #Bran  0.013591   0.063763  4.456190e+00   0.002853           0.0           14.0            15.0            17.0            37.0                2.0               27.8
21          #OH  0.004505   0.010654  4.827623e+00   0.002054           1.0           32.0            37.0             9.0            41.0                1.0               32.4
22        #AlOH  0.003022   0.016088  5.114069e+00   0.003433           1.0           39.0            35.0             4.0            35.0                1.0               30.5
23        #ArOH  0.027127   0.030651  4.391003e+00   0.038599           1.0            9.0            25.0            20.0             8.0                1.0               20.9
24         #COO  0.000487   0.002572  3.300948e+00   0.004326           1.0           47.0            46.0            46.0            30.0                1.0               47.0
25       #AlCOO  0.000516   0.003449  3.543917e+00   0.005247           1.0           46.0            45.0            40.0            27.0                1.0               44.1
26       #ArCOO  0.000008   0.000000  1.626958e+00   0.000227           0.0           52.0            54.0            52.0            51.0                2.0               60.4
27         #C=O  0.006715   0.031254  4.045912e+00   0.011848           1.0           27.0            24.0            33.0            13.0                1.0               29.1
28     #C=O\COO  0.000000   0.002243  4.454747e-14   0.000000           0.0           53.0            47.0            53.0            53.0                2.0               59.2
29       #Ether  0.007416   0.029718  5.228207e+00   0.005551           1.0           24.0            27.0             1.0            24.0                1.0               22.0
30       #Ester  0.010981   0.023082  4.399595e+00   0.027607           1.0           18.0            31.0            19.0            10.0                1.0               24.6
31     #Benzene  0.000281   0.001215  3.178346e+00   0.001623           1.0           48.0            52.0            48.0            45.0                1.0               52.6
32        #Ar-N  0.076371   0.034972  5.049491e+00   0.042286           1.0            5.0            23.0             6.0             6.0                1.0               14.9
33         #ArN  0.006161   0.065484  4.135953e+00   0.071882           1.0           28.0            14.0            30.0             4.0                1.0               23.6
34        #ArNH  0.116968   0.062176  4.199367e+00   0.231483           1.0            2.0            16.0            27.0             1.0                1.0               17.5
35       #Imine  0.005800   0.009894  4.295703e+00   0.006345           1.0           29.0            40.0            23.0            18.0                1.0               32.3
36         #NH2  0.004845   0.026605  4.136901e+00   0.006021           0.0           30.0            30.0            29.0            20.0                2.0               35.7
37         #NH1  0.003404   0.009650  4.494466e+00   0.005539           1.0           36.0            41.0            16.0            25.0                1.0               33.3
38         #NH0  0.019306   0.051850  5.096208e+00   0.027621           1.0           11.0            21.0             5.0             9.0                1.0               15.8
39          #SH  0.000000   0.000000  5.608843e-15   0.000000           0.0           53.0            54.0            54.0            53.0                2.0               61.6
40    #Aldehyde  0.003371   0.019171  4.204712e+00   0.001686           1.0           37.0            33.0            26.0            44.0                1.0               37.9
41       #Amide  0.002141   0.005103  3.979341e+00   0.003184           1.0           44.0            43.0            34.0            36.0                1.0               43.1
42     #Aniline  0.000000   0.000000  3.629656e-15   0.000000           0.0           53.0            54.0            55.0            53.0                2.0               61.9
43      #Phenol  0.000105   0.001966  2.874936e+00   0.000546           0.0           50.0            49.0            50.0            50.0                2.0               57.7
44     #Epoxide  0.009691   0.019706  3.813201e+00   0.009170           1.0           20.0            32.0            37.0            16.0                1.0               31.9
45       #Furan  0.002842   0.017034  3.895696e+00   0.004278           1.0           40.0            34.0            36.0            31.0                1.0               39.2
46  #Piperidine  0.003058   0.026667  3.685747e+00   0.001517           1.0           38.0            29.0            38.0            47.0                1.0               41.1
47    #Pyridine  0.002452   0.002054  3.525169e+00   0.005874           1.0           43.0            48.0            41.0            21.0                1.0               43.5
48     #Lactone  0.000012   0.001243  2.582709e+00   0.000115           0.0           51.0            51.0            51.0            52.0                2.0               59.2
49      #Ketone  0.002566   0.008159  4.588055e+00   0.005517           1.0           42.0            42.0            12.0            26.0                1.0               33.8
50     #Nitrile  0.166851   0.102494  4.668355e+00   0.170912           1.0            1.0             6.0            10.0             2.0                1.0                9.4
51     #Sulfone  0.000000   0.001070  2.956424e-29   0.000000           0.0           53.0            53.0            56.0            53.0                2.0               61.9
52       Radius  0.007416   0.015058  4.206627e+00   0.001145           0.0           23.0            36.0            25.0            49.0                2.0               40.7
53         apol  0.041791   0.233078  4.279390e+00   0.006493           1.0            7.0             2.0            24.0            17.0                1.0               16.6
54         Vabc  0.016586   0.289491  3.940203e+00   0.001605           1.0           12.0             1.0            35.0            46.0                1.0               26.4
55        SLogP  0.061898   0.159913  4.571777e+00   0.001921           1.0            6.0             3.0            14.0            43.0                1.0               18.9
=== end of combined dataframe ===

=== combined dataframe of LUMO_eV===
        feature      RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            mu  3.265079e-02   0.193057  4.317421e+00   0.000725           1.0            6.0             7.0            22.0            48.0                1.0               23.5
1            #C  3.768747e-03   0.139262  4.333606e+00   0.004667           1.0           19.0            10.0            21.0            20.0                1.0               21.1
2            #O  2.343497e-03   0.062143  4.580727e+00   0.002228           1.0           26.0            22.0            13.0            29.0                1.0               25.5
3         #O/#C  3.026569e-03   0.148793  4.611138e+00   0.000927           1.0           21.0             9.0            11.0            45.0                1.0               23.2
4      #Halogen  1.415200e-04   0.012546  3.445523e+00   0.005976           1.0           47.0            38.0            44.0            16.0                1.0               41.2
